"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"TP_MOTIVO";"DS_TP_MOTIVO";"CD_MOTIVO";"DS_MOTIVO"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001610994";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001607569";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001612832";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001645079";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001613125";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001634056";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001613326";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001613346";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001634286";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001605836";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001606690";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001613009";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001610984";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001606684";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001608372";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001613116";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001723175";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001613212";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001645043";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001610900";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001612868";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001726006";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
